A(z) 1. órában 2333 termék volt kész. 
A(z) 2. órában 2437 termék volt kész. 
A(z) 3. órában 2490 termék volt kész. 
A(z) 4. órában 2372 termék volt kész. 
A(z) 5. órában 2553 termék volt kész. 
A(z) 6. órában 2336 termék volt kész. 
A(z) 7. órában 2381 termék volt kész. 
A(z) 8. órában 2130 termék volt kész. 
A(z) 9. órában 2370 termék volt kész. 
A(z) 10. órában 2563 termék volt kész. 
A(z) 11. órában 2415 termék volt kész. 
A(z) 12. órában 2340 termék volt kész. 
A(z) 13. órában 2500 termék volt kész. 
A(z) 14. órában 2518 termék volt kész. 
A(z) 15. órában 2348 termék volt kész. 
A(z) 16. órában 2247 termék volt kész. 
A(z) 17. órában 2371 termék volt kész. 
A(z) 18. órában 2454 termék volt kész. 
A(z) 19. órában 2652 termék volt kész. 
A(z) 20. órában 2367 termék volt kész. 
A(z) 21. órában 2310 termék volt kész. 
A(z) 22. órában 2341 termék volt kész. 
A(z) 23. órában 2458 termék volt kész. 
A(z) 24. órában 2438 termék volt kész. 
